% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 13:21"
% Table,Table 3 - mXY
% scale,Eigenfrequency (GHz),py (1),N (1)
4,4.716182083348267-2.1230330124937827E-6i,-5.988178157938018,-11.827707032769624
4.2,3.37468484773259+8.780161438046176E-6i,-48.41082168400883,-12.319039541241017
4.2,3.726823781243853+4.7171627786598715E-6i,-47.53150942743221,-12.142848975732415
4.2,3.9580964981485813+2.2854539619256693E-5i,-14.88004194473333,-12.13445275866613
4.2,3.978317066876796+3.3642292861561633E-6i,-16.722492900828097,-11.95088536489757
4.2,3.986179494882516+1.576085286351358E-5i,-33.70812378824609,-11.748025457005664
4.2,4.379791106214556-2.1562539989598834E-6i,-33.897723412573356,-11.816043668940107
4.2,4.440623161441491-3.939825420225148E-6i,-47.11199429447493,-12.328876249025972
4.2,4.6250474630364735-1.7475948940462655E-6i,-1.466448865419622,-11.670593202172501
4.4,3.3366892995865007+5.9615234143742285E-6i,-48.99208610081451,-12.480707714815717
4.4,3.7114668828224815-2.8614838150257446E-7i,-48.593976537187736,-12.488166667145519
4.4,3.882004172458566-5.588568884127019E-7i,-44.48787115069993,-11.278556550347671
4.4,3.9070329134721717-1.7958619391466068E-5i,-4.529292781553566,-12.42258447309359
4.4,3.9137141853686486-3.104995822607116E-6i,-13.990850132193103,-11.902487658401682
4.4,4.330346983118802-8.4346957610142E-6i,-34.848303215428984,-12.28725790896749
4.4,4.338612895620362+1.1176186419169068E-5i,-46.75064987890895,-12.435027660376788
4.4,4.497479446516983-6.373490292674466E-6i,-2.3004425547382934,-11.256105836580062
4.6,3.3080519654103835+2.434133634508107E-6i,-48.43845452079457,-12.348812671936164
4.6,3.680947046611804+7.396214820530645E-6i,-48.90038440860811,-12.632645826527945
4.6,3.8185068046615513+4.169324935699328E-6i,-44.542181162346346,-11.192691839164862
4.6,3.8525232021820024+1.4834831564433591E-5i,-3.872926074345075,-12.435833755075672
4.6,3.879569143611648+2.4568288111466573E-6i,-15.17973562204619,-12.348902588693603
4.6,4.259344556180419-1.6564270902546512E-5i,-46.29233022939708,-12.326633498713832
4.6,4.281298681914095+3.847518781415608E-6i,-28.33799476644982,-11.931332589179807
4.6,4.414503030453655+5.803501187372862E-6i,-7.261378985136674,-11.88106153391354
4.800000000000001,3.2799402050737134+1.8269411405153116E-5i,-47.555732212622914,-12.128134419713259
4.800000000000001,3.6238950564522345+2.0660325850319545E-5i,-47.64068155036988,-12.290199255879264
4.800000000000001,3.783163114686757+3.663053161225858E-6i,-44.7057026484099,-11.249921129955785
4.800000000000001,3.797078880107529+5.223968331537566E-6i,-4.089291571131485,-11.916855595129853
4.800000000000001,3.841867947063679+5.694214766504095E-6i,-14.462436838783638,-11.866700886024198
4.800000000000001,4.181022804887884+1.9956894450650007E-5i,-45.286793564761126,-12.171072022908033
4.800000000000001,4.209522730127416-3.886728664161821E-6i,-20.677742146139973,-11.498163342633756
4.800000000000001,4.352234354131834-1.774893680885609E-6i,-13.33960357623106,-11.343253227844128
5,3.2567182770220744+1.3283256561134052E-5i,-49.31058371494573,-12.585132680104447
5,3.5608729354232724+7.601316127524676E-6i,-47.86615519093196,-12.315470972858567
5,3.7520712054551058-2.036379592276756E-5i,-5.734746984367399,-12.497037361890554
5,3.7718567718856253-2.056161126273118E-6i,-45.088483209394866,-11.545601838538497
5,3.8097578009630273-1.423137817475158E-5i,-14.580487710628875,-12.365948745499495
5,4.117294892749251+1.527780977833554E-5i,-47.98596011809591,-13.074097395627227
5,4.14038557156154-1.464647053635395E-5i,-16.88885600417103,-11.658481672590801
5,4.3152474417467-4.867436265784114E-6i,-37.54040107013295,-11.6856462777545
5.2,3.234004532294397+1.0465952760492216E-5i,-47.18646028012908,-12.053225025001652
5.2,3.4946953120690454+3.0001966610624207E-5i,-45.5255546300588,-11.688836330413737
5.2,3.7061103058488865+1.358371754620608E-5i,-5.074152668238192,-12.007356700540202
5.2,3.7646687995304924+1.6356304353591219E-6i,-45.69051521414874,-11.5968625952914
5.2,3.771777377780607+1.4789981333172282E-5i,-13.017155000684893,-11.944983477015567
5.2,4.0575276864135255-4.363740334554669E-6i,-46.412529700449866,-12.731468982363396
5.2,4.069948648673905+1.1191804238724753E-5i,-15.123903660738245,-11.59001615179073
5.2,4.191948509977334+2.6986964620505487E-5i,-39.79058754940229,-11.204271520826282
5.4,3.213998683974039+1.681497515959691E-5i,-48.99744876101339,-12.514824325202683
5.4,3.4359375345554843+2.8156908695569463E-5i,-47.690762070891694,-12.221168281294013
5.4,3.6669396850956884-3.335694957789015E-5i,-6.0204493612787,-12.510015015294965
5.4,3.73677593418439-3.066078661614276E-5i,-12.80242425355359,-12.359555843988092
5.4,3.7585418265837136-7.294534914514983E-7i,-47.31104633540647,-12.02006940489662
5.4,4.00270547216611+4.4228019943089E-5i,-42.2806437927228,-12.46126102111158
5.4,4.0106427483285545-3.190991223225655E-5i,-17.798265998964126,-11.933286835408916
5.4,4.082103801690728-3.090736717382201E-5i,-42.41013105352076,-11.526159563299185
