% Model,cylinder.mph
% Version,COMSOL 6.1.0.282
% Date,"Oct 30 2024, 18:57"
% Table,Table 4 - Surface Integration 1
% h0 (A/m),Eigenfrequency (Hz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1)
3500000,1.2515582756940811E11-73.43638281608612i,0.11623747112749236,-3.7765850778390366E-5,-0.03072869699092732,4.53530271534437E-5,-2.2798484310128028E-4,-1.1814623444716152E-4
3500000,1.2516433238318184E11+41.243649235888846i,-0.0027137506111055898,-4.0328031369594934E-5,0.0015726006476381694,-1.5684073511291498E-4,-8.169421019567167E-4,2.494783191382129E-4
3500000,1.2522026393863968E11+292.03061403581904i,-0.3048295108187955,-1.110174803867808E-5,-0.04004627357313836,1.9912541188627604E-4,3.153336231747905E-4,-1.4113474887557332E-4
3750000,1.3312774033189127E11+2.0261760816367877E-4i,-7.466810589114311E-5,0.044224212871077154,1.9722702829937382E-5,-2.450297769899651E-4,3.608330115518251E-5,4.853660797587455E-4
3750000,1.3328858438828055E11+1.4692883444755345E-4i,2.450864381309534E-4,-0.20725352728348517,2.3436058651623909E-4,7.429056948409264E-4,-9.863090562734644E-5,-3.4705657771385776E-4
3750000,1.3380856143703777E11-0.0034221134126469787i,-5.687940148748542E-4,0.8003819621991521,-0.0011601147085145021,-0.0017845596722547569,2.500620212105506E-4,-0.0011342124847332942
3750000,1.3394972419727376E11+125.06351060336857i,0.013705296096034457,1.1808596476297107E-4,-0.004675365845880273,-1.7179381814774267E-4,3.370175968251071E-5,2.1004670003149027E-4
3750000,1.3395764720606685E11-31.44675000298843i,-0.06569836425097614,1.2068443880832333E-4,0.059613817503758285,-6.31676991287626E-5,-3.0507633847868827E-4,1.6608267507503408E-4
3750000,1.3401406315188885E11-418.30935393357055i,-0.04944126244965166,4.652080979395664E-5,-0.00908306931098906,-5.567251847807151E-5,4.5267199683316113E-4,1.1778905260878447E-4
4000000,1.4192105290830908E11,4.877094551553018E-5,-0.05652146421043038,7.707776949910404E-5,1.4967704994751354E-4,-2.4990265598645578E-5,-2.060148570316874E-5
4000000,1.4208189968545685E11,3.931642599013345E-4,-0.38016035499578354,5.999098355983415E-4,0.001105383435661203,-1.472342803355922E-4,3.130843319226039E-4
