% Model,Cyl_axis_oriented_magnetic_field.mph
% Version,COMSOL 6.1.0.282
% Date,"Jan 29 2025, 14:10"
% Table,Table 1 - Surface Integration 1
% H0 (A/m),Eigenfrequency (GHz),m=0 (1),m=1 (1),m=2 (1),m=3 (1),m=4 (1),m=5 (1),m=6 (1)
89600,9.807509012946728+8.476367868033635E-6i,-2.6855555380138135E-5,0.2810323684643683,-9.899267812215435E-5,-5.56357394956864E-4,1.6153215351327773E-4,7.932899259696274E-5,1.271149076399461E-4
89600,10.056221434338038+3.5918519751327015E-6i,-2.4581335842344327E-4,-4.5963749452809674E-4,7.398183557045868E-4,0.19472539015690607,4.929249642725338E-4,0.0010914851736541407,-6.275619549565092E-5
96200,5.11618869016584-3.534349261291011E-7i,1.6558341440533052E-4,0.24868112917859142,8.416687919781914E-5,3.3276612731239646E-5,-7.114509802755309E-5,-7.207453746991677E-5,2.8635575101103387E-4
96200,5.562270796012687-2.040991544340596E-6i,-1.7038002043495695E-4,-0.23773929586934525,3.958608943538454E-6,-5.8269637823093685E-5,6.73394193069825E-5,7.389406623338093E-5,-2.8415428382417256E-4
96200,6.7947131049278475-7.002497042637833E-7i,-0.11958662652479564,6.024897895529465E-4,-0.0010936403380513797,7.411840130187735E-5,4.2992837703327584E-6,9.924075614571833E-6,3.047583157450787E-5
96200,7.148552099664844-2.948002633190208E-6i,-0.0011444657263664584,-2.812486598684226E-4,-0.34365643183581074,1.8312289816711991E-4,2.993356222380266E-4,-4.75999339862444E-4,-1.753629708192541E-4
96200,7.6403080635383676-1.8604191032089424E-6i,-0.6301768160793718,1.0435047032284981E-4,2.245924612667067E-4,-6.221469383731197E-5,1.7022305999174982E-4,1.251392110758716E-4,5.29175781566803E-5
96200,7.780748117897216-3.0970065349549974E-6i,0.00208782445095204,7.130340582988477E-4,-0.15838107866879433,5.669292825449384E-4,0.0024801811708053765,-9.057922953891416E-5,-1.1814554528474546E-4
96200,9.049747557630655-3.303872820119309E-6i,6.465155388433271E-5,-0.2329746291783179,0.00427141799312689,3.514650602756879E-4,0.0010805236090049148,3.9234507484098904E-4,-9.362576788911736E-5
96200,10.046513350012821+7.15671439433657E-6i,-6.493034999197653E-5,0.23206772672516812,1.2431552685956685E-5,-5.729157264918053E-4,2.1242907255909917E-4,6.613318335781679E-5,7.443162017153855E-5
96200,10.286584536861499+7.208026737541986E-7i,-2.5274304951447834E-4,-3.94849785858342E-4,7.243982947991029E-4,0.20068977842508465,4.5273894280187346E-4,0.0010501105954136502,-1.0068863990553849E-4
102800,5.347410619555158-1.940247027672024E-7i,1.1262345375079659E-4,0.24836262448686386,5.708836539600492E-5,4.28158054004827E-5,-9.345035444576748E-5,-7.088474443484326E-5,2.858668583907445E-4
102800,5.7947681258356845+3.2619587394573193E-7i,-1.9348548395530595E-4,-0.2370279107553969,7.134188718711417E-6,-6.106761595479446E-5,8.762612742424675E-5,7.583105460558229E-5,-2.847082271700049E-4
102800,7.038335102721108-2.990496639901053E-7i,-0.0945402132152078,6.005300522791894E-4,-9.664084052960351E-4,6.285241329369346E-5,1.2909625099182308E-6,1.887765340213664E-5,2.866986852310393E-5
102800,7.379369719005083-2.468076292009033E-6i,-0.0011140872723788577,-2.0843534562903432E-4,-0.35058414326515297,2.249295535089635E-4,4.131799756286542E-4,-4.634760973971872E-4,-1.769771374299278E-4
102800,7.8778567676862625+1.7421525818347781E-6i,-0.632507952349167,8.265481097845203E-5,2.289416857469455E-4,-5.142556271293292E-5,1.652588517604946E-4,1.354687374562609E-4,5.670554301742123E-5
102800,8.012167144667094+1.8413114325530753E-6i,-0.003529239647707543,-5.075603293620176E-4,-0.28856647825949744,-1.002374236974619E-4,-2.567322491938633E-4,-5.218846276052044E-4,-6.378370220906215E-5
102800,9.282304846567397+2.0922825583476434E-6i,-0.003301656402089036,0.14142620761814523,-0.005501528085674654,4.4976204688072183E-4,-9.576753540793854E-4,-6.484357085387186E-4,-6.664033468974385E-5
102800,10.285241207091667+6.8845659663559085E-6i,-7.248642547598525E-6,0.3099039864976864,-1.2775349379740784E-4,-5.474724201419756E-4,1.1502080032381818E-4,1.0355972953037678E-4,1.62581566790347E-4
