% Model,Cyl_v2.mph
% Version,COMSOL 6.1.0.282
% Date,"Feb 3 2025, 13:20"
% Table,Table 1 - mXZ
% scale,Eigenfrequency (GHz),py (1),N (1)
4.2,3.726823781243853+4.7171627786598715E-6i,-47.81061731315903,-12.116545096984082
4.2,3.9580964981485813+2.2854539619256693E-5i,-47.640308813637795,-12.124047176698726
4.2,3.978317066876796+3.3642292861561633E-6i,-15.745819509365075,-11.969330841409725
4.2,3.986179494882516+1.576085286351358E-5i,-33.298455163902545,-11.708829135894629
4.2,4.379791106214556-2.1562539989598834E-6i,-46.66604353900805,-11.799378888124712
4.2,4.440623161441491-3.939825420225148E-6i,-0.7288962708922333,-12.308483037427948
4.2,4.6250474630364735-1.7475948940462655E-6i,-46.15196224653547,-11.669574024796038
4.4,3.3366892995865007+5.9615234143742285E-6i,-0.8308312182275638,-12.441640116904233
4.4,3.7114668828224815-2.8614838150257446E-7i,-48.90572443177369,-12.447063433324363
4.4,3.882004172458566-5.588568884127019E-7i,-44.41801841927621,-11.247396561239428
4.4,3.9070329134721717-1.7958619391466068E-5i,-5.380299711694092,-12.401504610713014
4.4,3.9137141853686486-3.104995822607116E-6i,-43.75418304298923,-11.866021398118159
4.4,4.330346983118802-8.4346957610142E-6i,-46.75101326370815,-12.26839241582348
4.4,4.338612895620362+1.1176186419169068E-5i,-2.4562787362246987,-12.385992150414431
4.4,4.497479446516983-6.373490292674466E-6i,-44.53058469669319,-11.241536454939034
4.6,3.3080519654103835+2.434133634508107E-6i,-0.8514559293675698,-12.307407102352805
4.6,3.680947046611804+7.396214820530645E-6i,-49.118684994933,-12.565983865002522
4.6,3.8185068046615513+4.169324935699328E-6i,-44.58255446393645,-11.184189566819988
4.6,3.8525232021820024+1.4834831564433591E-5i,-1.5864759188976483,-12.362975045220091
4.6,3.879569143611648+2.4568288111466573E-6i,-48.24993119397367,-12.349282134993048
4.6,4.259344556180419-1.6564270902546512E-5i,-0.914381980247006,-12.31564159548767
4.6,4.281298681914095+3.847518781415608E-6i,-46.66563897411018,-11.909898864506456
4.6,4.414503030453655+5.803501187372862E-6i,-47.164123445023556,-11.86665545106593
4.800000000000001,3.2799402050737134+1.8269411405153116E-5i,-0.8590724114353337,-12.175969695875922
4.800000000000001,3.6238950564522345+2.0660325850319545E-5i,-48.370373960804386,-12.385092933175784
4.800000000000001,3.783163114686757+3.663053161225858E-6i,-44.87495927534731,-11.247462996270762
4.800000000000001,3.797078880107529+5.223968331537566E-6i,-1.3818836919364186,-11.95802342126279
4.800000000000001,3.841867947063679+5.694214766504095E-6i,-46.55464400311648,-11.884779485939543
